title,year,release_date,genres,overview,runtime,rating,vote_count,popularity,director,cast,poster_url
Shelter,2026,2026-01-28,"Action, Crime, Thriller","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",107,6.8,236,373.401,Ric Roman Waugh,"Jason Statham, Bodhi Rae Breathnach, Michael Shaeffer, Anna Crilly, Bill Nighy",https://image.tmdb.org/t/p/w500/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg
Return to Silent Hill,2026,2026-01-21,"Drama, Horror, Mystery","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",106,5.016,246,160.9873,Christophe Gans,"Jeremy Irvine, Hannah Emily Anderson, Evie Templeton, Pearse Egan, Nicola Alexis",https://image.tmdb.org/t/p/w500/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg
Scream 7,2026,2026-02-25,"Crime, Horror, Mystery","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",114,6.0,248,151.1317,Kevin Williamson,"Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown, Mason Gooding",https://image.tmdb.org/t/p/w500/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg
Mercy,2026,2026-01-20,"Action, Science Fiction, Thriller","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",99,7.1,663,135.0507,Timur Bekmambetov,"Chris Pratt, Rebecca Ferguson, Kali Reis, Kylie Rogers, Chris Sullivan",https://image.tmdb.org/t/p/w500/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg
Zootopia 2,2025,2025-11-26,"Adventure, Animation, Comedy, Family, Mystery","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",108,7.611,1965,128.6089,Jared Bush,"Ginnifer Goodwin, Jason Bateman, Ke Huy Quan, Fortune Feimster, Andy Samberg",https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
Greenland 2: Migration,2026,2026-01-07,"Adventure, Science Fiction, Thriller","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",98,6.486,555,125.4984,Ric Roman Waugh,"Gerard Butler, Morena Baccarin, Roman Griffin Davis, Tommie Earl Jenkins, Trond Fausa Aurvåg",https://image.tmdb.org/t/p/w500/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg
The Shadow's Edge,2025,2025-08-16,"Action, Crime, Drama, Thriller",Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,142,7.214,475,111.5835,Larry Yang,"Jackie Chan, Zhang Zifeng, Tony Leung Ka-fai, Ci Sha, Jun",https://image.tmdb.org/t/p/w500/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg
Avatar: Fire and Ash,2025,2025-12-17,"Adventure, Fantasy, Science Fiction","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",198,7.3,1864,112.5888,James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Oona Chaplin",https://image.tmdb.org/t/p/w500/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg
The Wrecking Crew,2026,2026-01-28,"Action, Comedy, Crime, Mystery","Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",124,6.914,748,100.7101,Ángel Manuel Soto,"Dave Bautista, Jason Momoa, Temuera Morrison, Morena Baccarin, Roimata Fox",https://image.tmdb.org/t/p/w500/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg
The Housemaid,2025,2025-12-18,"Drama, Mystery, Thriller","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",131,7.259,1414,94.761,Paul Feig,"Sydney Sweeney, Amanda Seyfried, Brandon Sklenar, Michele Morrone, Elizabeth Perkins",https://image.tmdb.org/t/p/w500/cWsBscZzwu5brg9YjNkGewRUvJX.jpg
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,2025-07-18,"Action, Animation, Fantasy","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",156,7.658,752,95.1859,Haruo Sotozaki,"Natsuki Hanae, Takahiro Sakurai, Akira Ishida, Hiro Shimono, Yoshimasa Hosoya",https://image.tmdb.org/t/p/w500/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg
War of the Worlds,2025,2025-07-29,"Science Fiction, Thriller","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",91,4.168,913,92.6795,Rich Lee,"Ice Cube, Eva Longoria, Clark Gregg, Iman Benson, Henry Hunter Hall",https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg
Dog 51,2025,2025-10-15,"Action, Crime, Science Fiction, Thriller","In the near future, Paris is divided into three zones that separate social classes, and no one can escape ALMA, a predictive AI that has revolutionized law enforcement. When ALMA’s creator is assassinated, Salia, a top agent, and Zem, a jaded cop, are forced to work together to solve a murder that may expose the dark secrets of the system they serve.",100,6.265,215,57.9878,Cédric Jimenez,"Gilles Lellouche, Adèle Exarchopoulos, Louis Garrel, Romain Duris, Valeria Bruni Tedeschi",https://image.tmdb.org/t/p/w500/olMvhbCRuhTbf6EMKxKGHi2on3L.jpg
