title,year,release_date,genres,overview,tmdb_rating,tmdb_vote_count,popularity,language
Shelter,2026.0,2026-01-28,"Action, Crime, Thriller","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",6.8,212,388.3942,en
History of the World: Part I,1981.0,1981-06-12,Comedy,"An uproarious version of history that proves nothing is sacred – not even the Roman Empire, the French Revolution and the Spanish Inquisition.",6.762,887,275.8545,en
Pose,2026.0,2026-02-25,Thriller,"Isolated in a grand country manor, a reclusive artist spends a passionate and paranoid weekend with his ex-lover, an obsessive fan, and a potential muse. Hoping to spark a new wave of artistic brilliance over the course of a few tumultuous days, filled with chaos and revelation not all of them will make it out alive.",7.306,18,239.8635,en
The Bluff,2026.0,2026-02-17,"Action, Thriller","When her tranquil life on a remote island is shattered by the return of her vengeful former captain, a skilled ex-pirate must confront her bloody past and unleash her deadly talents to save her family from a ruthless siege.",6.121,178,245.9062,en
Scream 7,2026.0,2026-02-25,"Crime, Horror, Mystery","When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",5.993,230,179.2451,en
Gladiator Underground,2025.0,2025-08-22,Action,"Two brothers compete in the world's deadliest underground fighting tournament, where they must decide whether to play by the rules or to cast their honor aside and team up to bring down the dark syndicate running the tournament.",6.412,17,154.103,en
Turbulence,2025.0,2025-11-26,"Action, Adventure, Drama, Fantasy, Thriller","Young married couple Zach and Emmy decide to take a hot air balloon trip across the Italian Dolomites to rekindle their relationship. When they and pilot Harry are joined by a third passenger, Julia, events unfold in ways they could never imagine five thousand meters in the air.",5.709,55,152.807,en
Return to Silent Hill,2026.0,2026-01-21,"Drama, Horror, Mystery","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",5.051,237,162.2613,en
Hierarchy,2025.0,2025-08-15,"Action, Crime, Thriller","In an undisclosed area of Texas after two adoptive brothers become entangled in criminal activity, forced to evade law enforcement and the greedy Russian mafia.",5.7,13,137.9096,en
Dog 51,2025.0,2025-10-15,"Action, Crime, Science Fiction, Thriller","In the near future, Paris is divided into three zones that separate social classes, and no one can escape ALMA, a predictive AI that has revolutionized law enforcement. When ALMA’s creator is assassinated, Salia, a top agent, and Zem, a jaded cop, are forced to work together to solve a murder that may expose the dark secrets of the system they serve.",6.252,214,117.5584,fr
Mercy,2026.0,2026-01-20,"Action, Science Fiction, Thriller","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",7.093,639,133.6746,en
Vanaveera,2026.0,2026-02-13,"Action, Drama",A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,6.0,2,145.3455,te
Your Heart Will Be Broken,2026.0,2026-03-26,"Drama, Romance","High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",0.0,0,122.4756,ru
Zootopia 2,2025.0,2025-11-26,"Adventure, Animation, Comedy, Family, Mystery","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",7.612,1934,125.1053,en
Hellfire,2026.0,2026-02-05,"Action, Thriller",A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,6.947,47,129.7752,en
The Shadow's Edge,2025.0,2025-08-16,"Action, Crime, Drama, Thriller",Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,7.25,466,123.21,zh
Tom and Jerry: Forbidden Compass,2025.0,2025-08-02,"Adventure, Animation, Comedy, Family, Fantasy","The iconic cat-and-mouse duo accidentally travel through time in a museum. Along their journey, they meet a group of intriguing new companions and become involved in a final showdown with mysterious forces.",5.25,14,108.8545,zh
Avatar: Fire and Ash,2025.0,2025-12-17,"Adventure, Fantasy, Science Fiction","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.273,1857,102.065,en
Greenland 2: Migration,2026.0,2026-01-07,"Adventure, Science Fiction, Thriller","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",6.486,551,106.1658,en
Run Baby Run,2024.0,2024-08-30,"Action, Thriller",A young woman has to run for her life.,6.3,7,102.7172,en
Zero,2025.0,2025-04-11,"Action, Thriller","Two Americans wake up in Dakar, Senegal, with bombs strapped to their chests ticking down from ten hours. Guided by a threatening voice on the phone, these men complete a series of violent tasks that spark widespread protest against Western influence in the city.",5.865,26,104.4172,en
In the Blink of an Eye,2026.0,2026-01-26,"Drama, Science Fiction","Three storylines, spanning thousands of years, intersect and reflect on hope, connection, and the circle of life.",4.471,51,86.6932,en
The Housemaid,2025.0,2025-12-18,"Drama, Mystery, Thriller","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",7.251,1389,90.4131,en
War of the Worlds,2025.0,2025-07-29,"Science Fiction, Thriller","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",4.2,908,84.288,en
In the Morning of La Petite Mort,2023.0,2023-10-13,,"A provocative erotic drama about a Japanese food delivery man, a Taiwanese prostitute and a Filipino cleaner who are swept up by their insatiable appetites for sex.",7.333,3,75.6319,zh
The Bride!,2026.0,2026-03-04,"Comedy, Horror, Science Fiction",A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,7.2,29,84.3273,en
Arco,2025.0,2025-10-22,"Adventure, Animation, Drama, Family, Fantasy","10-year-old Arco lives in a far future. During his first flight in his rainbow suit, he loses control and falls into the past. Iris, a girl his age from 2075, comes to his rescue and tries by all means to help send him back to his era.",7.6,104,64.9334,fr
28 Years Later: The Bone Temple,2026.0,2026-01-14,"Horror, Science Fiction, Thriller",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,7.211,741,74.7312,en
"""Wuthering Heights""",2026.0,2026-02-11,"Drama, Romance","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",6.444,457,70.1299,en
Mouseboat Massacre,2025.0,2025-05-09,Horror,The story follows a young woman battling a drug addiction who suddenly begins to see a mutated mouse human hybrid who infests her life. Those around her begin to drop like flies.,5.673,26,78.6241,en
Predator: Badlands,2025.0,2025-11-05,"Action, Adventure, Science Fiction","Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",7.719,2257,79.6852,en
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025.0,2025-07-18,"Action, Animation, Fantasy","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.663,750,83.6786,ja
Hoppers,2026.0,2026-02-28,"Animation, Comedy, Family, Science Fiction","Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",7.829,41,85.4408,en
The Wrecking Crew,2026.0,2026-01-28,"Action, Comedy, Crime, Mystery","Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",6.917,733,83.2216,en
Sex Trip,2026.0,2026-02-20,Drama,"On a final trip after college graduation, five friends go on a hiking trip and discover a mystical cave that unleashes forbidden desires within them, igniting a night of uninhibited passion, partner-swapping, and raw sexual exploration leaving them forever changed.",6.833,3,65.3534,tl
The Orphans,2025.0,2025-08-20,Action,"Gab and Driss, childhood friends on bad terms since they left the orphanage, now have opposite lives - one is a cop with the IGPN, the other a fixer for thugs. When their first love dies in a suspicious accident, her 17-year-old daughter, Leïla, takes Gab's gun and sets off on the trail of a powerful organization willing to do anything to cover the case up. Forced to team up, the orphans must stop her before she crosses a line she can't return from...",6.159,63,52.8631,fr
Grizzly Night,2026.0,2026-01-30,"Drama, Horror, Thriller","On August 12, 1967, in Montana's Glacier National Park, the unthinkable happened: that same night, nine miles apart, there were not one—but two—fatal grizzly bear attacks.",6.066,38,61.8918,en
Space/Time,2025.0,2025-05-01,"Action, Science Fiction, Thriller","After a fatal test shuts down their project, a disgraced team of scientists enters the criminal underworld to rebuild a forbidden space-bending engine that could rescue humanity or annihilate it entirely.",5.743,37,49.0539,en
A Woman Scorned,2025.0,2025-06-09,Action,"Jas and her sister Laura are interrupted on their family weekend break in the country side by a group of local men intent on terrorising them. When Laura is attacked and killed by the group, Jas discovers her lifeless body back at the cabin they've hired. She is instilled with grief, rage and fury and intent on hunting down and taking out the gang by whatever means necessary as justice for her sister's murder.",6.346,13,45.0316,en
Tři nevinní,1974.0,1974-03-01,"Comedy, Crime","The car thief Halama, the shy groom Poupě, the divorcing jealous Pic and the mustachioed cinema projectionist Vlk are suspected of robbing the cinema box office. They are so similar, however, that the sharp-witted Public Security investigator Doll doesn't know them at all...",0.0,0,58.8279,cs
The Unknown Man,2021.0,2021-10-16,Drama,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",8.5,2,73.3957,nl
GOAT,2026.0,2026-02-11,"Animation, Comedy, Family","A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",7.517,90,53.4274,en
Whistle,2026.0,2026-01-20,"Horror, Mystery","A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",5.904,57,46.8524,en
Hamnet,2025.0,2025-11-26,"Drama, History, Romance","The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",7.725,846,49.5659,en
The Avengers,2012.0,2012-04-25,"Action, Adventure, Science Fiction","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.958,36264,52.1849,en
Blades of the Guardians: Wind Rises in the Desert,2026.0,2026-02-17,"Action, Drama, History","Dao Ma, the ""second most wanted fugitive,"" is entrusted by his benefactor, the chief of Mo family clan, to take on a mysterious escort mission-escorting the ""most wanted fugitive"" to Chang'an.",7.4,23,48.1393,zh
Street Flow 3,2026.0,2026-03-04,Drama,"Grieving and facing the consequences of their crimes, the Traoré brothers get one last chance to forge a new path.",3.636,11,51.7167,fr
Marty Supreme,2025.0,2025-12-19,Drama,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",7.531,1122,50.5491,en
Interstellar,2014.0,2014-11-05,"Adventure, Drama, Science Fiction",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.468,39034,50.6005,en
Somnium,2025.0,2025-08-28,"Drama, Horror, Science Fiction, Thriller","Gemma moves to LA, hoping to become an actress. She takes an overnight gig at a sleep clinic that promises to make their clients’ dreams come true. But the longer she spends there, the more it becomes clear that something sinister is going on.",5.6,25,42.7879,en
xXx,2002.0,2002-08-09,"Action, Adventure, Crime, Drama, Thriller","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.98,4808,51.6435,en
Accused,2026.0,2026-02-27,"Drama, Mystery, Thriller","When a celebrated queer doctor in London is accused of sexual misconduct, her life unravels. Now under a storm of suspicion and scrutiny, her marriage fractures and the truth blurs. Her wife must decide whether to walk away, or fight for the woman the world is turning against.",4.9,39,54.0101,hi
Anaconda,2025.0,2025-12-24,"Action, Adventure, Comedy, Horror","A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",5.8,712,48.0722,en
Fürst Seppl,1932.0,1932-10-05,Comedy,A simple inn in the mountains is transformed into a grand hotel.,0.0,0,46.8249,de
Fränk,2025.0,2025-03-21,Drama,"Following a serious domestic violence incident, 13 year old Paul arrives in an unfamiliar town where in his pursuit of happiness he makes one bad decision after another. His seemingly inevitable downfall is thwarted, however, by a strange disabled man.",7.6,5,47.0072,et
Now You See Me: Now You Don't,2025.0,2025-11-12,"Crime, Mystery, Thriller","The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",6.536,1157,38.5561,en
The Faculty,1998.0,1998-12-25,"Horror, Science Fiction","When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that confirms their worst suspicions: their teachers really are from another planet!",6.564,2189,38.587,en
The SpongeBob Movie: Search for SquarePants,2025.0,2025-12-16,"Adventure, Animation, Comedy, Family, Fantasy","Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",6.758,219,40.0772,en
Dragon Ball Z: Super Android 13!,1992.0,1992-07-11,"Action, Animation, Science Fiction","Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegeta defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him.",6.924,601,35.5574,ja
The Lake of Mysteries,1973.0,1973-05-27,"Drama, Family",A teenager's world is shattered when her mother marries the father of her boyfriend.,0.0,0,42.6065,pl
Oscar Shaw,2026.0,2026-01-09,"Action, Crime, Thriller, Western","After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect.",6.625,24,45.7751,en
Porto Santo,1997.0,1997-08-08,"Drama, Mystery","A technical problem aboard a transatlantic flight forces a plane to land in Porto Santo, the small island of Madeira's archipelago where, according to a legend, Christopher Columbus the 15th century navigator, lived for a while and entertained a sexual relationship with a widow and her nubile daughter. A girl photo journalist profits to stay the extra-needed days for repair, to visit the island - and eventually she'll become part of complex relationships among some of the secluded people of the island. Also, a yacht lost in the high seas in 1947 reappears from the misty horizon 50 years later - to unite Fanny and João, a contemporary navigator.",0.0,0,42.3337,pt
Sausage Party,2016.0,2016-07-11,"Adventure, Animation, Comedy, Fantasy",Hot dog Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,5.75,7638,39.71,en
Superman,2025.0,2025-07-09,"Action, Adventure, Science Fiction","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.356,4412,42.0639,en
Sinners,2025.0,2025-04-16,"Action, Horror, Thriller","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",7.488,3849,40.7773,en
Diabolic,2025.0,2025-11-20,Horror,"A woman's hope for a miracle cure turns into a nightmare when she confronts the vengeful spirit of a cursed witch, determined to claim her as a vessel for her evil power.",7.304,23,37.8358,en
Deathstalker,2025.0,2025-10-10,"Action, Adventure, Fantasy","A powerful swordsman known as Deathstalker recovers a cursed amulet from a corpse-strewn battlefield. Marked by dark magic and hunted by monstrous assassins, he must face the rising evil and break the curse.",6.2,53,41.4672,en
KPop Demon Hunters,2025.0,2025-06-20,"Animation, Comedy, Fantasy, Music","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",8.073,2460,42.5177,en
