,title,year,release_date,genres,overview,runtime,imdb_id,tmdb_id,imdb_rating,imdb_votes,tmdb_rating,tmdb_vote_count,popularity,director,cast,poster_url
count,800,800.0,800,800,800,800.0,800,800.0,789.0,789.0,800.0,800.0,800.0,800,799,800
unique,783,,,235,800,,800,,,,,,,545,795,800
top,Cinderella,,,"Action, Adventure, Science Fiction","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",,tt32357218,,,,,,,Martin Scorsese,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",https://image.tmdb.org/t/p/w500/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg
freq,3,,,45,1,,1,,,,,,,10,2,1
mean,,2006.9075,2007-06-14 03:34:12,,,115.4,,283351.8925,6.8994930291508245,334474.48162230675,6.9567775,6094.25875,21.66985125,,,
min,,1931.0,1931-11-21 00:00:00,,,6.0,,11.0,2.5,1736.0,4.017,202.0,12.9063,,,
25%,,1997.0,1997-11-10 18:00:00,,,100.0,,8253.5,6.3,46920.0,6.46375,1073.5,15.478,,,
50%,,2011.0,2011-10-30 00:00:00,,,111.0,,51945.5,6.9,166101.0,6.971,3263.0,17.609450000000002,,,
75%,,2019.0,2019-10-26 18:00:00,,,127.0,,477025.75,7.5,411342.0,7.5015,8512.75,20.913575,,,
max,,2026.0,2026-02-25 00:00:00,,,339.0,,1419406.0,9.3,3164324.0,8.716,39031.0,388.3942,,,
std,,16.615249829859188,,,,24.87556013168007,,375406.26096100453,0.9694834809380466,453733.02136348956,0.770924681193852,7075.857182906503,21.129949589942598,,,
